"~start_node_id","~start_node_labels","~start_node_property_Directions","~start_node_property_Recipe_Title","~start_node_property_degree","~start_node_property_Recipe_ID","~start_node_property_Link","~start_node_property_Source","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_Ingredient_ID","~end_node_property_Ingredient_Name"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2351672","Ingredient",2238885,"lean ground beef"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2306423","Ingredient",2237319,"peppers"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2300596","Ingredient",2237287,"onion"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2255579","Ingredient",2237250,"bacon"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2328690","Ingredient",2239211,"yellow cornmeal"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2312206","Ingredient",2237238,"salt"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2298297","Ingredient",2237226,"milk"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2307934","Ingredient",2244287,"rat cheese"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2274027","Ingredient",2237311,"eggs"
"15622","Recipe","combine cornmeal, milk, salt, bacon drippings, eggs, soda and corn in mixing bowl set aside saute ground beef in skillet drain on paper towels grease a large black iron skillet and heat sprinkle bottom with a thin layer of cornmeal and brown slightly pour half of the batter in hot skillet, sprinkle cheese evenly over batter, then sprinkle on the meat, onion and peppers, pour remaining batter on top bake at 350 for 45 to 60 minutes serves 8 to 10, serve with a tossed green salad, iced tea and fruit dessert for a complete meal","mexican cornbread with ground beef",11,17064,"www.cookbooks.com/recipe-details.aspx?id=659756","gathered","USES","2315412","Ingredient",2237256,"soda"
